Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Status,Custom Metafield: custom.dimensions [single_line_text_field],Custom Metafield: custom.lead_time [single_line_text_field],Custom Metafield: custom.materials [multi_line_text_field],Custom Metafield: custom.badge [single_line_text_field],Custom Metafield: custom.badge_label [single_line_text_field],Custom Metafield: custom.cta_label [single_line_text_field],Custom Metafield: custom.order_type [single_line_text_field],Custom Metafield: custom.enquire_only [boolean]
x-stool,,,,,,,Fabric,Paisley,NHD-XST-PAI,shopify,0,continue,manual,650,TRUE,TRUE,draft,,,,,,,,
butlers-stand,The Butler's Stand,"<p>Velour upholstered butler's stand with tassel detail. Tray min. 5cm wider than stand. Tray not included.</p>",Nazly Habib Design,Stools,stools,TRUE,Colour,Sky Blue,NHD-BUT-SKY,shopify,1,deny,manual,420,TRUE,TRUE,draft,H70–80 × W45 × L50 cm,Contact for availability,"Imported velour · Tassel detail · Tray not included",,,Add to cart,in-stock,FALSE
butlers-stand,,,,,,,Colour,Royal Burgundy,NHD-BUT-BUR,shopify,3,deny,manual,420,TRUE,TRUE,draft,,,,,,,,
butlers-stand,,,,,,,Colour,Olive Green,NHD-BUT-OLI,shopify,2,deny,manual,420,TRUE,TRUE,draft,,,,,,,,
butlers-stand,,,,,,,Colour,Mustard,NHD-BUT-MUS,shopify,2,deny,manual,420,TRUE,TRUE,draft,,,,,,,,
butlers-stand,,,,,,,Colour,Copper,NHD-BUT-COP,shopify,1,deny,manual,440,TRUE,TRUE,draft,,,,,,,,
butlers-stand,,,,,,,Colour,Citrine,NHD-BUT-CIT,shopify,1,deny,manual,440,TRUE,TRUE,draft,,,,,,,,
bobbin-bar-stools,Bobbin Bar Stools,"<p>Handcrafted bobbin bar stools. Sold individually.</p>",Nazly Habib Design,Stools,stools,TRUE,Title,Default Title,NHD-BOB-001,shopify,4,deny,manual,380,TRUE,TRUE,draft,W40 × D40 × H75 cm,2–3 weeks,"Handcrafted turned wood · Bobbin detail",,,Add to cart,in-stock,FALSE
chinoiserie-peony-clover,Chinoiserie & Peony Clover,"<p>Hand-painted olive green side table with chinoiserie motif. Glass top included.</p>",Nazly Habib Design,Tables,"tables, limited",TRUE,Title,Default Title,NHD-CPC-001,shopify,2,deny,manual,480,TRUE,TRUE,draft,W53 × D53 × H54 cm,Ready to ship,"Hand-painted olive green · Chinoiserie motif · Glass top included",lim,Limited,Add to cart,in-stock,FALSE
chinoiserie-clover,The Chinoiserie Clover,"<p>Black lacquer side table — classic with a twist. 2 designs available. Glass top included.</p>",Nazly Habib Design,Tables,"tables, new-in",TRUE,Title,Default Title,NHD-CHC-001,shopify,0,continue,manual,480,TRUE,TRUE,draft,W53 × D53 × H54 cm,3–4 weeks,"Black lacquer · Classic with a twist · 2 designs available · Glass top",new,New,Pre-order,pre-order,FALSE
empire-collection,The Empire Collection,"<p>Hand-painted Emperor & Empress bijou table. Glass top. Pair or single.</p>",Nazly Habib Design,Tables,"tables, pre-order",TRUE,Title,Default Title,NHD-EMP-001,shopify,0,continue,manual,260,TRUE,TRUE,draft,W25 × L50 × H54 cm,Lead time 3 weeks,"Hand-painted Emperor & Empress · Bijou table · Glass top · Pair or single",pre,Pre-order,Pre-order,pre-order,FALSE
leopard-bijou,The Leopard Bijou,"<p>Hand-painted leopard bijou wooden side table. Glass top for protection.</p>",Nazly Habib Design,Tables,"tables, limited",TRUE,Title,Default Title,NHD-LEO-001,shopify,2,deny,manual,260,TRUE,TRUE,draft,W25 × L50 × H54 cm,Lead time 2–3 weeks,"Hand-painted leopard · Bijou wooden side table · Glass top for protection",lim,Limited,Add to cart,in-stock,FALSE
palm-beach-coffee-table,The Palm Beach Coffee Table,"<p>Statement minimalist scroll form. A piece of art. Great taste required.</p>",Nazly Habib Design,Tables,tables,TRUE,Title,Default Title,NHD-PBC-001,shopify,0,continue,manual,890,TRUE,TRUE,draft,L120 × W70 cm,Lead time 4–5 weeks,"Statement minimalist scroll form",,,Pre-order,pre-order,FALSE
moroccan-side-table,The Moroccan Side Table,"<p>Bleu & Blanc with subtle contrasting interior colour. Not for outdoor use.</p>",Nazly Habib Design,Tables,tables,TRUE,Title,Default Title,NHD-MOR-001,shopify,3,deny,manual,320,TRUE,TRUE,draft,W45 × D45 × H52 cm,Contact for lead time,"Bleu & Blanc · Subtle contrasting interior colour · Not for outdoor use",,,Add to cart,in-stock,FALSE
the-sloan,The Sloan,"<p>Beautifully crafted wicker table with generous space for daily use. Handmade.</p>",Nazly Habib Design,Tables,tables,TRUE,Title,Default Title,NHD-SLO-001,shopify,0,continue,manual,290,TRUE,TRUE,draft,51cm W × 50cm H,Pre-order 2 weeks,"Beautifully crafted wicker · Generous space for daily use · Handmade",,,Pre-order,pre-order,FALSE
belgravia-coffee-table,The Belgravia Coffee Table,"<p>Hand-painted scalloped coffee table. 30% Moski wood, 70% MDF. 100% Handcrafted in Egypt.</p>",Nazly Habib Design,Consoles,consoles,TRUE,Title,Default Title,NHD-BEL-001,shopify,2,deny,manual,760,TRUE,TRUE,draft,L126 × W86 × H50 cm,"In stock, 1 week","Hand-painted scalloped · 30% Moski wood, 70% MDF · 100% Handcrafted in Egypt",,,Add to cart,in-stock,FALSE
mini-hortensia-console,Mini Hortensia Console,"<p>Lacquered scallop apron console. Perfect for smaller spaces that need a flamboyant lift.</p>",Nazly Habib Design,Consoles,"consoles, limited, enquire",TRUE,Title,Default Title,NHD-HOR-001,shopify,0,continue,manual,0,TRUE,TRUE,draft,Contact for dimensions,Contact for lead time,"Lacquered scallop apron · Perfect for smaller spaces that need a flamboyant lift",lim,Iconic,Enquire,enquire,TRUE
boltons-console,The Boltons Console,"<p>Arch-leg console. Use as buffet, entryway or back sofa table. Character piece.</p>",Nazly Habib Design,Consoles,consoles,TRUE,Title,Default Title,NHD-BOL-001,shopify,1,deny,manual,920,TRUE,TRUE,draft,50D × 170L × H74 cm,Lead time 4–6 weeks,"Arch-leg console · Use as buffet, entryway or back sofa table · Character piece",,,Add to cart,in-stock,FALSE
burl-wood-console,Burl Wood Console with Shelf,"<p>Versatile burl wood veneer console with shelf height 60cm. Display your favourite accessories.</p>",Nazly Habib Design,Consoles,consoles,TRUE,Title,Default Title,NHD-BWC-001,shopify,0,continue,manual,980,TRUE,TRUE,draft,D38 × W150 × H82 cm,Pre-order 3 weeks,"Versatile burl wood veneer · Shelf height 60cm · Display your favourite accessories",,,Pre-order,pre-order,FALSE
marrakech-console,The Marrakech Console,"<p>Intricately detailed Marrakech-style console. A true statement piece.</p>",Nazly Habib Design,Consoles,consoles,TRUE,Title,Default Title,NHD-MAR-001,shopify,0,continue,manual,1100,TRUE,TRUE,draft,D40 × W160 × H80 cm,Pre-order 4 weeks,"Hand-carved detail · Statement piece",,,Pre-order,pre-order,FALSE
upholstered-console,The Upholstered Console,"<p>Nazly's latest obsession. Fully customisable in your choice of fabric. Available for pre-order only.</p>",Nazly Habib Design,Consoles,"consoles, enquire",TRUE,Title,Default Title,NHD-UPC-001,shopify,0,continue,manual,0,TRUE,TRUE,draft,Contact for dimensions,3–4 weeks,"Fully customisable · Your choice of fabric · Pre-order only",,,Enquire,enquire,TRUE
swoon-lacquered-tray,The Swoon Lacquered Tray,"<p>Black & White available. Scalloped edge. Butler's tray or display piece.</p>",Nazly Habib Design,Accessories,accessories,TRUE,Title,Default Title,NHD-SLT-001,shopify,5,deny,manual,140,TRUE,TRUE,draft,L70 × W50 cm,Immediate delivery,"Black & White available · Scalloped edge · Butler's tray or display piece",new,In Stock,Add to cart,in-stock,FALSE
swoon-wooden-tray,The Swoon Wooden Tray,"<p>Part of The Swoon Collection. Generously sized. Custom colours available.</p>",Nazly Habib Design,Accessories,accessories,TRUE,Title,Default Title,NHD-SWT-001,shopify,4,deny,manual,160,TRUE,TRUE,draft,L70 × W50 cm,2 weeks (3 for custom),"Part of The Swoon Collection · Generously sized · Custom colours available",,,Add to cart,in-stock,FALSE
bahamas-lantern,The Bahamas Lantern,"<p>Natural wicker, bamboo & wood lantern. Timeless coastal charm. Perfect for summer homes & outdoor spaces.</p>",Nazly Habib Design,Accessories,"accessories, new-in",TRUE,Title,Default Title,NHD-LAN-001,shopify,6,deny,manual,180,TRUE,TRUE,draft,W46 × D46 × H65 cm,Lead time 2–3 weeks,"Natural wicker, bamboo & wood · Timeless coastal charm",new,New,Add to cart,in-stock,FALSE
arabesque-mirror,The Arabesque Mirror,"<p>Wood inlay floral pattern with mother of pearl. Hang vertically or horizontally.</p>",Nazly Habib Design,Accessories,"accessories, enquire",TRUE,Title,Default Title,NHD-ARB-001,shopify,0,continue,manual,0,TRUE,TRUE,draft,80×110cm or 110×80cm,Lead time 10–12 weeks,"Wood inlay floral pattern with mother of pearl · Hang vertically or horizontally",,,Enquire,enquire,TRUE
regency-headboard,The Regency Headboard,"<p>Customised wicker & bamboo headboard with warmth, texture & coastal charm. Bed frame also available for pre-order.</p>",Nazly Habib Design,Beds,"beds, new-in, pre-order",TRUE,Size,King,NHD-REG-K,shopify,0,continue,manual,1100,TRUE,TRUE,draft,King / Queen / Single,Lead time 4–6 weeks,"Customised wicker & bamboo · Warmth, texture & coastal charm",pre,Pre-order,Pre-order,pre-order,FALSE
regency-headboard,,,,,,,Size,Queen,NHD-REG-Q,shopify,0,continue,manual,1000,TRUE,TRUE,draft,,,,,,,,
regency-headboard,,,,,,,Size,Single,NHD-REG-S,shopify,0,continue,manual,850,TRUE,TRUE,draft,,,,,,,,
bed-frames,Bed Frames,"<p>Handcrafted bed frames available for pre-order. Made to order in your choice of size.</p>",Nazly Habib Design,Beds,"beds, pre-order",TRUE,Size,King,NHD-BED-K,shopify,0,continue,manual,1600,TRUE,TRUE,draft,Made to order,Lead time 6–8 weeks,"Handcrafted wicker & bamboo · Made to order",pre,Pre-order,Pre-order,pre-order,FALSE
bed-frames,,,,,,,Size,Queen,NHD-BED-Q,shopify,0,continue,manual,1500,TRUE,TRUE,draft,,,,,,,,
